seq_no,bom_version,bom_material_code,bom_level,material_code,material_name,usage_numerator,usage_denominator,standard_usage,variable_loss_rate,demand_quantity,alt_group_no,alt_part,alt_priority,alt_method,parent_material_code
1700,2026-08-05,367-000097,5,539-000088,贴片电阻,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000581
1701,2026-08-05,367-000097,5,539-000263,贴片电阻,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000581
1702,2026-08-05,367-000097,5,972-000700,雷达收发器,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000581
1703,2026-08-05,367-000097,5,972-000475,电源芯片,2.000000,1.000000,2.000000,0.00,2.000000,0,,0,,588-000581
1704,2026-08-05,367-000097,5,527-000034,贴片晶振,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000581
1705,2026-08-05,367-000097,5,972-000701,EEPROM,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000581
1706,2026-08-05,367-000097,5,725-000334,贴片陶瓷电容,6.000000,1.000000,6.000000,0.00,6.000000,8,√,2,替代,588-000582
1707,2026-08-05,367-000097,5,725-000319,贴片陶瓷电容,2.000000,1.000000,2.000000,0.00,2.000000,9,√,1,替代,588-000582
1708,2026-08-05,367-000097,5,725-000365,贴片陶瓷电容,2.000000,1.000000,2.000000,0.00,2.000000,9,√,2,替代,588-000582
1709,2026-08-05,367-000097,5,725-000367,贴片陶瓷电容,1.000000,1.000000,1.000000,0.00,1.000000,10,√,2,替代,588-000582
1710,2026-08-05,367-000097,5,690-000040,红外接收管,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000582
1711,2026-08-05,367-000097,5,690-000041,红外发射管,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000582
1712,2026-08-05,367-000097,5,358-000111,NPN三极管,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000582
1713,2026-08-05,367-000097,5,539-000106,贴片电阻,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000582
1714,2026-08-05,367-000097,5,539-000370,贴片电阻,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000582
1715,2026-08-05,367-000097,5,539-000448,贴片电阻,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000582
1716,2026-08-05,367-000097,5,539-000253,贴片电阻,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000582
1717,2026-08-05,367-000097,5,539-000104,贴片电阻,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000582
1718,2026-08-05,367-000097,5,838-000161,光电编码读头,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000582
1719,2026-08-05,367-000097,5,972-000427,比较器,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000582
1720,2026-08-05,367-000097,5,554-000057,LDO,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000582
1721,2026-08-05,367-000097,5,321-000523,YS506_V2_光电编码板_P4_PCB,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000582
1722,2026-08-05,367-000097,5,725-000012,贴片陶瓷电容,6.000000,1.000000,6.000000,0.00,6.000000,8,,0,替代,588-000582
1723,2026-08-05,367-000097,5,725-000226,贴片陶瓷电容,6.000000,1.000000,6.000000,0.00,6.000000,8,√,1,替代,588-000582
1724,2026-08-05,367-000097,5,725-000029,贴片陶瓷电容,2.000000,1.000000,2.000000,0.00,2.000000,9,,0,替代,588-000582
1725,2026-08-05,367-000097,5,725-000171,贴片陶瓷电容,3.000000,1.000000,3.000000,0.00,3.000000,11,,0,替代,588-000582
1726,2026-08-05,367-000097,5,725-000307,贴片陶瓷电容,3.000000,1.000000,3.000000,0.00,3.000000,11,√,1,替代,588-000582
1727,2026-08-05,367-000097,5,725-000005,贴片陶瓷电容,1.000000,1.000000,1.000000,0.00,1.000000,10,,0,替代,588-000582
1728,2026-08-05,367-000097,5,725-000179,贴片陶瓷电容,1.000000,1.000000,1.000000,0.00,1.000000,10,√,1,替代,588-000582
1729,2026-08-05,367-000097,5,725-000104,贴片陶瓷电容,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000582
1730,2026-08-05,367-000097,5,539-000001,贴片电阻,2.000000,1.000000,2.000000,0.00,2.000000,0,,0,,588-000582
1731,2026-08-05,367-000097,5,539-000008,贴片电阻,5.000000,1.000000,5.000000,0.00,5.000000,0,,0,,588-000582
1732,2026-08-05,367-000097,5,539-000032,贴片电阻,2.000000,1.000000,2.000000,0.00,2.000000,0,,0,,588-000582
1733,2026-08-05,367-000097,5,539-000028,贴片电阻,2.000000,1.000000,2.000000,0.00,2.000000,0,,0,,588-000582
1734,2026-08-05,367-000097,5,539-000002,贴片电阻,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000582
1735,2026-08-05,367-000097,5,321-000460,YS506_V2_避障FPC_40PIN_P0_PCB,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000583
1736,2026-08-05,367-000097,5,356-000524,BTB连接器,2.000000,1.000000,2.000000,0.00,2.000000,0,,0,,588-000583
1737,2026-08-05,367-000097,5,356-000524,BTB连接器,2.000000,1.000000,2.000000,0.00,2.000000,0,,0,,588-000584
1738,2026-08-05,367-000097,5,321-000461,YS506_V2_定高FPC_40PIN_P0_PCB,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000584
1739,2026-08-05,367-000097,5,725-000317,贴片陶瓷电容,3.000000,1.000000,3.000000,0.00,3.000000,0,,0,,588-000578
1740,2026-08-05,367-000097,5,725-000318,贴片陶瓷电容,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000578
1741,2026-08-05,367-000097,5,539-000489,高精度贴片电阻,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000578
1742,2026-08-05,367-000097,5,539-000490,贴片电阻,4.000000,1.000000,4.000000,0.00,4.000000,0,,0,,588-000578
1743,2026-08-05,367-000097,5,972-000440,motor驱动芯片,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000578
1744,2026-08-05,367-000097,5,972-000696,FLASH,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000578
1745,2026-08-05,367-000097,5,972-000702,角度检测解码芯片,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000578
1746,2026-08-05,367-000097,5,972-000703,过压保护芯片,1.000000,1.000000,1.000000,0.00,1.000000,21,,0,替代,588-000578
1747,2026-08-05,367-000097,5,972-000728,可调过压保护开关,1.000000,1.000000,1.000000,0.00,1.000000,21,√,1,替代,588-000578
1748,2026-08-05,367-000097,5,972-000704,电源管理芯片,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000578
1749,2026-08-05,367-000097,5,972-000705,MPU,1.000000,1.000000,1.000000,0.00,1.000000,22,,0,替代,588-000578
1750,2026-08-05,367-000097,5,972-000727,MPU,1.000000,1.000000,1.000000,0.00,1.000000,22,√,1,替代,588-000578
1751,2026-08-05,367-000097,5,972-000707,栅极驱动器,2.000000,1.000000,2.000000,0.00,2.000000,0,,0,,588-000578
1752,2026-08-05,367-000097,5,972-000708,仪表运放,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000578
1753,2026-08-05,367-000097,5,972-000714,DCDC电源芯片,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000578
1754,2026-08-05,367-000097,5,895-000084,拨码开关,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000578
1755,2026-08-05,367-000097,5,356-000534,连接器,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000578
1756,2026-08-05,367-000097,5,733-000204,贴片磁珠,3.000000,1.000000,3.000000,0.00,3.000000,24,√,1,替代,588-000578
1757,2026-08-05,367-000097,5,733-000213,功率电感,4.000000,1.000000,4.000000,0.00,4.000000,26,,0,替代,588-000578
1758,2026-08-05,367-000097,5,733-000215,贴片磁珠,4.000000,1.000000,4.000000,0.00,4.000000,26,√,1,替代,588-000578
1759,2026-08-05,367-000097,5,770-000131,0.5 Pitch拉拔卧式3带下接（H=2.0）,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000578
1760,2026-08-05,367-000097,5,364-000052,贴片可恢复保险丝,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000578
1761,2026-08-05,367-000097,5,527-000056,贴片无源晶振,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000578
1762,2026-08-05,367-000097,5,972-000716,DDR4,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000578
1763,2026-08-05,367-000097,5,321-000455,YS506_V2_定子板_P2_PCB,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000578
1764,2026-08-05,367-000097,5,795-000824,YN580雷达定子板屏蔽罩底座,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000578
1765,2026-08-05,367-000097,5,795-000825,YN580雷达定子板屏蔽罩盖子,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000578
1766,2026-08-05,367-000097,5,725-000012,贴片陶瓷电容,82.000000,1.000000,82.000000,0.00,82.000000,46,,0,替代,588-000578
1767,2026-08-05,367-000097,5,725-000226,贴片陶瓷电容,82.000000,1.000000,82.000000,0.00,82.000000,46,√,1,替代,588-000578
1768,2026-08-05,367-000097,5,725-000334,贴片陶瓷电容,82.000000,1.000000,82.000000,0.00,82.000000,46,√,2,替代,588-000578
1769,2026-08-05,367-000097,5,725-000024,贴片陶瓷电容,1.000000,1.000000,1.000000,0.00,1.000000,38,,0,替代,588-000578
1770,2026-08-05,367-000097,5,725-000176,贴片陶瓷电容,1.000000,1.000000,1.000000,0.00,1.000000,38,√,1,替代,588-000578
1771,2026-08-05,367-000097,5,725-000025,贴片陶瓷电容,4.000000,1.000000,4.000000,0.00,4.000000,47,,0,替代,588-000578
1772,2026-08-05,367-000097,5,725-000325,贴片陶瓷电容,4.000000,1.000000,4.000000,0.00,4.000000,47,√,1,替代,588-000578
1773,2026-08-05,367-000097,5,725-000372,贴片陶瓷电容,4.000000,1.000000,4.000000,0.00,4.000000,47,√,2,替代,588-000578
1774,2026-08-05,367-000097,5,725-000028,贴片陶瓷电容,14.000000,1.000000,14.000000,0.00,14.000000,39,,0,替代,588-000578
1775,2026-08-05,367-000097,5,725-000328,贴片陶瓷电容,14.000000,1.000000,14.000000,0.00,14.000000,39,√,1,替代,588-000578
1776,2026-08-05,367-000097,5,725-000029,贴片陶瓷电容,14.000000,1.000000,14.000000,0.00,14.000000,48,,0,替代,588-000578
1777,2026-08-05,367-000097,5,725-000319,贴片陶瓷电容,14.000000,1.000000,14.000000,0.00,14.000000,48,√,1,替代,588-000578
1778,2026-08-05,367-000097,5,725-000365,贴片陶瓷电容,14.000000,1.000000,14.000000,0.00,14.000000,48,√,2,替代,588-000578
1779,2026-08-05,367-000097,5,725-000091,贴片陶瓷电容,1.000000,1.000000,1.000000,0.00,1.000000,40,,0,替代,588-000578
1780,2026-08-05,367-000097,5,725-000337,贴片陶瓷电容,1.000000,1.000000,1.000000,0.00,1.000000,40,√,1,替代,588-000578
1781,2026-08-05,367-000097,5,725-000100,贴片陶瓷电容,2.000000,1.000000,2.000000,0.00,2.000000,49,,0,替代,588-000578
1782,2026-08-05,367-000097,5,725-000031,贴片陶瓷电容,2.000000,1.000000,2.000000,0.00,2.000000,49,√,1,替代,588-000578
1783,2026-08-05,367-000097,5,725-000217,贴片陶瓷电容,2.000000,1.000000,2.000000,0.00,2.000000,49,√,2,替代,588-000578
1784,2026-08-05,367-000097,5,725-000329,贴片陶瓷电容,2.000000,1.000000,2.000000,0.00,2.000000,49,√,3,替代,588-000578
1785,2026-08-05,367-000097,5,725-000127,贴片陶瓷电容,6.000000,1.000000,6.000000,0.00,6.000000,50,,0,替代,588-000578
1786,2026-08-05,367-000097,5,725-000222,贴片陶瓷电容,6.000000,1.000000,6.000000,0.00,6.000000,50,√,1,替代,588-000578
1787,2026-08-05,367-000097,5,725-000336,贴片陶瓷电容,6.000000,1.000000,6.000000,0.00,6.000000,50,√,2,替代,588-000578
1788,2026-08-05,367-000097,5,725-000171,贴片陶瓷电容,21.000000,1.000000,21.000000,0.00,21.000000,41,,0,替代,588-000578
1789,2026-08-05,367-000097,5,725-000307,贴片陶瓷电容,21.000000,1.000000,21.000000,0.00,21.000000,41,√,1,替代,588-000578
1790,2026-08-05,367-000097,5,725-000219,贴片陶瓷电容,6.000000,1.000000,6.000000,0.00,6.000000,51,,0,替代,588-000578
1791,2026-08-05,367-000097,5,725-000276,贴片陶瓷电容,6.000000,1.000000,6.000000,0.00,6.000000,51,√,1,替代,588-000578
1792,2026-08-05,367-000097,5,725-000309,贴片陶瓷电容,6.000000,1.000000,6.000000,0.00,6.000000,51,√,2,替代,588-000578
1793,2026-08-05,367-000097,5,527-000017,贴片无源晶振,1.000000,1.000000,1.000000,0.00,1.000000,52,,0,替代,588-000578
1794,2026-08-05,367-000097,5,527-000036,贴片无源晶振,1.000000,1.000000,1.000000,0.00,1.000000,52,√,1,替代,588-000578
1795,2026-08-05,367-000097,5,527-000037,贴片无源晶振,1.000000,1.000000,1.000000,0.00,1.000000,52,√,2,替代,588-000578
1796,2026-08-05,367-000097,5,358-000111,NPN三极管,6.000000,1.000000,6.000000,0.00,6.000000,42,,0,替代,588-000578
1797,2026-08-05,367-000097,5,358-000001,NPN三极管,6.000000,1.000000,6.000000,0.00,6.000000,42,√,1,替代,588-000578
1798,2026-08-05,367-000097,5,454-000020,TVS二极管,1.000000,1.000000,1.000000,0.00,1.000000,45,,0,替代,588-000578
1799,2026-08-05,367-000097,5,454-000199,TVS二极管,1.000000,1.000000,1.000000,0.00,1.000000,45,√,1,替代,588-000578
1800,2026-08-05,367-000097,5,733-000001,贴片磁珠,1.000000,1.000000,1.000000,0.00,1.000000,43,,0,替代,588-000578
1801,2026-08-05,367-000097,5,733-000084,贴片磁珠,1.000000,1.000000,1.000000,0.00,1.000000,43,√,1,替代,588-000578
1802,2026-08-05,367-000097,5,733-000095,贴片磁珠,3.000000,1.000000,3.000000,0.00,3.000000,24,,0,替代,588-000578
1803,2026-08-05,367-000097,5,733-000104,贴片磁珠,2.000000,1.000000,2.000000,0.00,2.000000,44,,0,替代,588-000578
1804,2026-08-05,367-000097,5,733-000212,贴片磁珠,2.000000,1.000000,2.000000,0.00,2.000000,44,√,1,替代,588-000578
1805,2026-08-05,367-000097,5,725-000182,贴片陶瓷电容,1.000000,1.000000,1.000000,0.00,1.000000,53,,0,替代,588-000578
1806,2026-08-05,367-000097,5,725-000105,贴片陶瓷电容,1.000000,1.000000,1.000000,0.00,1.000000,53,√,1,替代,588-000578
1807,2026-08-05,367-000097,5,725-000343,贴片陶瓷电容,1.000000,1.000000,1.000000,0.00,1.000000,53,√,2,替代,588-000578
1808,2026-08-05,367-000097,5,725-000014,贴片陶瓷电容,9.000000,1.000000,9.000000,0.00,9.000000,0,,0,,588-000578
1809,2026-08-05,367-000097,5,725-000048,贴片陶瓷电容,3.000000,1.000000,3.000000,0.00,3.000000,0,,0,,588-000578
1810,2026-08-05,367-000097,5,725-000104,贴片陶瓷电容,24.000000,1.000000,24.000000,0.00,24.000000,0,,0,,588-000578
1811,2026-08-05,367-000097,5,725-000105,贴片陶瓷电容,2.000000,1.000000,2.000000,0.00,2.000000,0,,0,,588-000578
1812,2026-08-05,367-000097,5,725-000128,贴片陶瓷电容,8.000000,1.000000,8.000000,0.00,8.000000,0,,0,,588-000578
1813,2026-08-05,367-000097,5,725-000162,贴片陶瓷电容,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000578
1814,2026-08-05,367-000097,5,725-000170,贴片陶瓷电容,3.000000,1.000000,3.000000,0.00,3.000000,0,,0,,588-000578
1815,2026-08-05,367-000097,5,725-000174,贴片陶瓷电容,2.000000,1.000000,2.000000,0.00,2.000000,0,,0,,588-000578
1816,2026-08-05,367-000097,5,725-000144,贴片陶瓷电容,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000578
1817,2026-08-05,367-000097,5,725-000304,贴片陶瓷电容,3.000000,1.000000,3.000000,0.00,3.000000,0,,0,,588-000578
1818,2026-08-05,367-000097,5,725-000410,贴片陶瓷电容,13.000000,1.000000,13.000000,0.00,13.000000,0,,0,,588-000578
1819,2026-08-05,367-000097,5,539-000001,贴片电阻,31.000000,1.000000,31.000000,0.00,31.000000,0,,0,,588-000578
1820,2026-08-05,367-000097,5,539-000002,贴片电阻,31.000000,1.000000,31.000000,0.00,31.000000,0,,0,,588-000578
1821,2026-08-05,367-000097,5,539-000003,贴片电阻,9.000000,1.000000,9.000000,0.00,9.000000,0,,0,,588-000578
1822,2026-08-05,367-000097,5,539-000005,贴片电阻,30.000000,1.000000,30.000000,0.00,30.000000,0,,0,,588-000578
1823,2026-08-05,367-000097,5,539-000006,贴片电阻,27.000000,1.000000,27.000000,0.00,27.000000,0,,0,,588-000578
1824,2026-08-05,367-000097,5,539-000008,贴片电阻,36.000000,1.000000,36.000000,0.00,36.000000,0,,0,,588-000578
1825,2026-08-05,367-000097,5,539-000014,贴片电阻,5.000000,1.000000,5.000000,0.00,5.000000,0,,0,,588-000578
1826,2026-08-05,367-000097,5,539-000018,贴片电阻,3.000000,1.000000,3.000000,0.00,3.000000,0,,0,,588-000578
1827,2026-08-05,367-000097,5,539-000022,贴片电阻,2.000000,1.000000,2.000000,0.00,2.000000,0,,0,,588-000578
1828,2026-08-05,367-000097,5,539-000026,贴片电阻,4.000000,1.000000,4.000000,0.00,4.000000,0,,0,,588-000578
1829,2026-08-05,367-000097,5,539-000028,贴片电阻,15.000000,1.000000,15.000000,0.00,15.000000,0,,0,,588-000578
1830,2026-08-05,367-000097,5,539-000055,贴片低阻值采样电阻,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000578
1831,2026-08-05,367-000097,5,539-000063,贴片电阻,2.000000,1.000000,2.000000,0.00,2.000000,0,,0,,588-000578
1832,2026-08-05,367-000097,5,539-000066,贴片电阻,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000578
1833,2026-08-05,367-000097,5,539-000100,贴片电阻,4.000000,1.000000,4.000000,0.00,4.000000,0,,0,,588-000578
1834,2026-08-05,367-000097,5,539-000110,贴片电阻,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000578
1835,2026-08-05,367-000097,5,539-000031,贴片电阻,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000578
1836,2026-08-05,367-000097,5,539-000016,贴片电阻,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000578
1837,2026-08-05,367-000097,5,539-000142,贴片电阻,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000578
1838,2026-08-05,367-000097,5,539-000144,贴片电阻,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000578
1839,2026-08-05,367-000097,5,539-000153,贴片电阻,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000578
1840,2026-08-05,367-000097,5,539-000155,贴片电阻,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000578
1841,2026-08-05,367-000097,5,539-000263,贴片电阻,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000578
1842,2026-08-05,367-000097,5,539-000044,贴片电阻,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000578
1843,2026-08-05,367-000097,5,539-000271,贴片电阻,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000578
1844,2026-08-05,367-000097,5,539-000276,贴片电阻,2.000000,1.000000,2.000000,0.00,2.000000,0,,0,,588-000578
1845,2026-08-05,367-000097,5,539-000296,贴片电阻,2.000000,1.000000,2.000000,0.00,2.000000,0,,0,,588-000578
1846,2026-08-05,367-000097,5,539-000322,贴片电阻,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000578
1847,2026-08-05,367-000097,5,539-000387,贴片电阻,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000578
1848,2026-08-05,367-000097,5,539-000481,贴片电阻,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000578
1849,2026-08-05,367-000097,5,539-000032,贴片电阻,2.000000,1.000000,2.000000,0.00,2.000000,0,,0,,588-000578
1850,2026-08-05,367-000097,5,539-000236,贴片电阻,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000578
1851,2026-08-05,367-000097,5,527-000033,贴片无源晶振,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000578
1852,2026-08-05,367-000097,5,501-000006,网络变压器,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000578
1853,2026-08-05,367-000097,5,358-000094,双通道N-MOS,2.000000,1.000000,2.000000,0.00,2.000000,0,,0,,588-000578
1854,2026-08-05,367-000097,5,358-000112,P沟道MOS管,2.000000,1.000000,2.000000,0.00,2.000000,0,,0,,588-000578
1855,2026-08-05,367-000097,5,972-000092,运算放大器,3.000000,1.000000,3.000000,0.00,3.000000,0,,0,,588-000578
1856,2026-08-05,367-000097,5,972-000436,百兆网口PHY,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000578
1857,2026-08-05,367-000097,5,972-000448,MCU电源监控芯片,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000578
1858,2026-08-05,367-000097,5,972-000458,电压比较器,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000578
1859,2026-08-05,367-000097,5,972-000577,IMU,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000578
1860,2026-08-05,367-000097,5,972-000619,LDO,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000578
1861,2026-08-05,367-000097,5,972-000623,WIFI&BLE模组,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000578
1862,2026-08-05,367-000097,5,690-000040,红外接收管,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000578
1863,2026-08-05,367-000097,5,690-000041,红外发射管,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000578
1864,2026-08-05,367-000097,5,454-000045,贴片肖特基二极,2.000000,1.000000,2.000000,0.00,2.000000,0,,0,,588-000578
1865,2026-08-05,367-000097,5,454-000068,TVS二极管,17.000000,1.000000,17.000000,0.00,17.000000,0,,0,,588-000578
1866,2026-08-05,367-000097,5,454-000122,稳压二极管,4.000000,1.000000,4.000000,0.00,4.000000,0,,0,,588-000578
1867,2026-08-05,367-000097,5,454-000222,TVS二极管,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000578
1868,2026-08-05,367-000097,5,454-000303,TVS二极管,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000578
1869,2026-08-05,367-000097,5,454-000304,ESD静电保护芯片,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000578
1870,2026-08-05,367-000097,5,356-000081,IPEX天线座,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000578
1871,2026-08-05,367-000097,5,356-000162,TYPE-C母头-24pin,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000578
1872,2026-08-05,367-000097,5,733-000020,绕线贴片功率电感,2.000000,1.000000,2.000000,0.00,2.000000,0,,0,,588-000578
1873,2026-08-05,367-000097,5,733-000129,绕线贴片功率电感,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000578
1874,2026-08-05,367-000097,5,849-000215,1.37线径射频线夹,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000578
1875,2026-08-05,367-000097,5,165-002085,YN580雷达导热垫1,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000578
1876,2026-08-05,367-000097,5,165-002086,YN580雷达导热垫2,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000578
1877,2026-08-05,367-000097,5,321-000352,YS504_定高板FPC排线_25mm_10PIN_P1_PCB,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000428
1878,2026-08-05,367-000097,5,770-000144,0.5mm 10pin单槽BTB PLUG,2.000000,1.000000,2.000000,0.00,2.000000,0,,0,,588-000428
1879,2026-08-05,367-000097,5,321-000296,YS504_定高板FPC排线_10PIN_P0_PCB,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000343
1880,2026-08-05,367-000097,5,770-000144,0.5mm 10pin单槽BTB PLUG,2.000000,1.000000,2.000000,0.00,2.000000,0,,0,,588-000343
1881,2026-08-05,367-000097,5,725-000339,贴片陶瓷电容,2.000000,1.000000,2.000000,0.00,2.000000,0,,0,,588-000470
1882,2026-08-05,367-000097,5,733-000188,贴片磁珠,24.000000,1.000000,24.000000,0.00,24.000000,0,,0,,588-000470
1883,2026-08-05,367-000097,5,733-000189,贴片功率电感,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000470
1884,2026-08-05,367-000097,5,972-000624,MCU,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000470
1885,2026-08-05,367-000097,5,972-000625,NOR FLASH,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,588-000470
1886,2026-08-05,367-000097,5,321-000581,YS504_V2_避障雷达板_P1.1_PCB,1.000000,1.000000,1.000000,0.00,1.000000,23,,0,替代,588-000470
1887,2026-08-05,367-000097,5,321-000382,YS504_V2_避障雷达板_P1_PCB,1.000000,1.000000,1.000000,0.00,1.000000,23,√,1,替代,588-000470
1888,2026-08-05,367-000097,5,725-000217,贴片陶瓷电容,37.000000,1.000000,37.000000,0.00,37.000000,24,,0,替代,588-000470
1889,2026-08-05,367-000097,5,725-000100,贴片陶瓷电容,37.000000,1.000000,37.000000,0.00,37.000000,24,√,1,替代,588-000470
1890,2026-08-05,367-000097,5,725-000372,贴片陶瓷电容,4.000000,1.000000,4.000000,0.00,4.000000,30,,0,替代,588-000470
1891,2026-08-05,367-000097,5,725-000025,贴片陶瓷电容,4.000000,1.000000,4.000000,0.00,4.000000,30,√,1,替代,588-000470
1892,2026-08-05,367-000097,5,725-000325,贴片陶瓷电容,4.000000,1.000000,4.000000,0.00,4.000000,30,√,2,替代,588-000470
1893,2026-08-05,367-000097,5,725-000321,贴片陶瓷电容,2.000000,1.000000,2.000000,0.00,2.000000,25,,0,替代,588-000470
1894,2026-08-05,367-000097,5,725-000212,贴片陶瓷电容,2.000000,1.000000,2.000000,0.00,2.000000,25,√,1,替代,588-000470
1895,2026-08-05,367-000097,5,725-000333,贴片陶瓷电容,2.000000,1.000000,2.000000,0.00,2.000000,26,,0,替代,588-000470
1896,2026-08-05,367-000097,5,725-000178,贴片陶瓷电容,2.000000,1.000000,2.000000,0.00,2.000000,26,√,1,替代,588-000470
1897,2026-08-05,367-000097,5,725-000171,贴片陶瓷电容,23.000000,1.000000,23.000000,0.00,23.000000,27,,0,替代,588-000470
1898,2026-08-05,367-000097,5,725-000307,贴片陶瓷电容,23.000000,1.000000,23.000000,0.00,23.000000,27,√,1,替代,588-000470
1899,2026-08-05,367-000097,5,725-000334,贴片陶瓷电容,61.000000,1.000000,61.000000,0.00,61.000000,31,,0,替代,588-000470
1900,2026-08-05,367-000097,5,725-000012,贴片陶瓷电容,61.000000,1.000000,61.000000,0.00,61.000000,31,√,1,替代,588-000470
1901,2026-08-05,367-000097,5,725-000226,贴片陶瓷电容,61.000000,1.000000,61.000000,0.00,61.000000,31,√,2,替代,588-000470
1902,2026-08-05,367-000097,5,725-000365,贴片陶瓷电容,4.000000,1.000000,4.000000,0.00,4.000000,32,,0,替代,588-000470
1903,2026-08-05,367-000097,5,725-000029,贴片陶瓷电容,4.000000,1.000000,4.000000,0.00,4.000000,32,√,1,替代,588-000470
1904,2026-08-05,367-000097,5,725-000319,贴片陶瓷电容,4.000000,1.000000,4.000000,0.00,4.000000,32,√,2,替代,588-000470
